delay,freq,condition,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,,,
0.4,1000,exp,1.525,1.4892511,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,5.233333333,1.2303841,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1.9,0.7801341,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.858333333,1.1412519,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1.858333333,0.8488353,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,2.191666667,0.9944302,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,2.191666667,0.6564011,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,2.191666667,0.7808857,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,1.541666667,1.1214784,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.958333333,1.839922,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,2.066666667,1.4282798,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,1.175,1.5152922,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.15,1.795146,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,3.983333333,1.575589,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,2,1.432898,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,6.125,1.1581571,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,1.116666667,1.3254511,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1,1.5028876,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
